,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
63,MR Marsh,2011-2018,53,50,283.2,6,1564,44,May-33,35.54,5.52,38.6,1,1,NA
64,RJ Harris,2010-2012,20,19,161.5,13,778,43,19-May,18.09,4.8,22.5,0,3,NA
65,JW Hastings,2010-2017,29,29,247.4,7,1256,42,Jun-45,29.9,5.07,35.3,1,1,NA
66,A Zampa,2016-2019,34,34,281.4,3,1582,42,16-Mar,37.66,5.61,40.2,0,0,NA
67,NM Coulter-Nile,2013-2018,22,22,188.2,5,1011,38,Apr-48,26.6,5.36,29.7,1,0,NA
68,JR Hopes,2009-2010,38,34,228.1,9,1127,28,14-May,40.25,4.93,48.8,0,1,NA
69,KW Richardson,2013-2018,18,18,155.5,10,854,27,May-68,31.62,5.48,34.6,0,1,NA
70,SPD Smith,2010-2018,108,36,174.2,1,931,27,16-Mar,34.48,5.34,38.7,0,0,NA
71,SW Tait,2010-2011,13,13,101.2,7,500,24,Apr-48,20.83,4.93,25.3,1,0,NA
72,MP Stoinis,2015-2019,24,22,157.2,1,953,22,16-Mar,43.31,6.05,42.9,0,0,NA
73,DT Christian,2012-2014,19,19,121.1,4,595,20,31-May,29.75,4.91,36.3,0,1,NA
74,NM Lyon,2012-2019,17,17,157,10,771,18,Apr-44,42.83,4.91,52.3,1,0,NA
75,BW Hilfenhaus,2009-2012,16,16,126.2,10,656,17,May-33,38.58,5.19,44.5,0,1,NA
76,SM Boland,2016-2016,14,13,119.2,3,725,16,Mar-67,45.31,6.07,44.7,0,0,NA
77,DJ Hussey,2009-2013,54,30,97.5,1,503,16,21-Apr,31.43,5.14,36.6,2,0,NA
78,JL Pattinson,2011-2015,15,15,121.1,6,681,16,Apr-51,42.56,5.62,45.4,1,0,NA
79,PM Siddle,2009-2019,19,18,147.1,10,730,16,Mar-55,45.62,4.96,55.1,0,0,NA
80,NW Bracken,2009-2009,15,15,133.3,8,598,15,Feb-31,39.86,4.47,53.4,0,0,NA
81,JA Richardson,2018-2019,7,7,67,5,383,13,26-Apr,29.46,5.71,30.9,1,0,NA
82,TM Head,2016-2018,42,26,127.3,0,737,12,22-Feb,61.41,5.78,63.7,0,0,NA
83,AJ Tye,2018-2018,7,7,64.3,1,392,12,May-46,32.66,6.07,32.2,0,1,NA
84,MJ Clarke,2009-2015,99,37,99.3,3,469,9,15-Mar,52.11,4.71,66.3,0,0,NA
85,AC Agar,2015-2018,9,9,72,2,414,8,Feb-48,51.75,5.75,54,0,0,NA
86,MC Henriques,2009-2017,11,10,59,1,306,7,Mar-32,43.71,5.18,50.5,0,0,NA
87,JJ Krejza,2011-2011,8,8,70.5,0,331,7,28-Feb,47.28,4.67,60.7,0,0,NA
88,B Stanlake,2017-2019,7,7,59,3,324,7,Mar-35,46.28,5.49,50.5,0,0,NA
89,CP Tremain,2016-2016,4,4,40,0,255,7,Mar-64,36.42,6.37,34.2,0,0,NA
90,AC Voges,2009-2013,30,14,47.1,1,243,6,3-Jan,40.5,5.15,47.1,0,0,NA
91,BCJ Cutting,2013-2014,4,4,36,1,158,5,Mar-45,31.6,4.38,43.2,0,0,NA
92,B Laughlin,2009-2009,5,5,37.2,1,219,4,28-Jan,54.75,5.86,56,0,0,NA
93,A Symonds,2009-2009,5,5,18,1,94,4,12-Feb,23.5,5.22,27,0,0,NA
94,JP Behrendorff,2019-2019,2,2,18.2,3,91,3,Feb-39,30.33,4.96,36.6,0,0,NA
95,SR Clark,2009-2009,3,3,21.1,2,86,3,15-Jan,28.66,4.06,42.3,0,0,NA
96,Fawad Ahmed,2013-2013,3,3,24,0,145,3,Jan-39,48.33,6.04,48,0,0,NA
97,JM Mennie,2016-2016,2,2,20,2,131,3,Mar-49,43.66,6.55,40,0,0,NA
98,GS Sandhu,2015-2015,2,2,20,0,107,3,Feb-49,35.66,5.35,40,0,0,NA
99,AJ Finch,2013-2019,99,14,26.2,0,137,2,2-Jan,68.5,5.2,79,0,0,NA
100,SM Harwood,2009-2009,1,1,10,0,57,2,Feb-57,28.5,5.7,30,0,0,NA
